Agency Name,Agency Contract No.,Contractor Name,Contractor Name D/B/A (Optional),Statewide Vendor Number (Optional),Purpose of the Contract,Purpose of the Contract Description (Optional),Contract Effective Start Date,Contract Effective End Date,Period of Performance Start Date,Period of Performance End Date,Federal Amount,State Amount,Other Amount,Cost of Contract,Explanation of Costs (Optional),Procurement Type (Competitive or Non-Competitive),Small Business Status (Optional)
"Attorney General, Office of the (ATG)",2408,Martin Brauer Attorneys,,,CB-Legal and Expert Witness Services,Outside Legal Services,05/01/2018 12:00:00 AM,05/01/2021 12:00:00 AM,05/01/2018 12:00:00 AM,05/01/2021 12:00:00 AM,0.0,24902.3,0,0.0,,Competitive Solicitation - Exceptions,
"Attorney General, Office of the (ATG)",2125 (1),Ropes & Gray,,,CB-Legal and Expert Witness Services,Outside Legal Services,07/01/2014 12:00:00 AM,02/28/2021 12:00:00 AM,07/01/2014 12:00:00 AM,02/28/2021 12:00:00 AM,0.0,0.0,0,0.0,Amendment did not modify cost,Competitive Solicitation - Exceptions,
"Attorney General, Office of the (ATG)",K8624,Washington Arbitration &,"Washington Arbitration & Mediation Service, Inc.",SWV0031441-00,CB-Legal and Expert Witness Services,Mediation,11/20/2018 12:00:00 AM,01/20/2019 12:00:00 AM,11/20/2018 12:00:00 AM,01/20/2019 12:00:00 AM,0.0,0.0,0,0.0,Financial No Max,Competitive Solicitation - Exceptions,
"Attorney General, Office of the (ATG)",K8955,Moe  Royce Howard,,SWV0183036-00,CB-Legal and Expert Witness Services,Mediation,02/21/2019 12:00:00 AM,04/21/2019 12:00:00 AM,02/21/2019 12:00:00 AM,04/21/2019 12:00:00 AM,0.0,0.0,0,0.0,Financial No Max,Competitive Solicitation - Exceptions,
"Attorney General, Office of the (ATG)",K6912-0-9,Discover-E Legal Llc,Novitas Data LLC,SWV0078956-01,ER-Other Contractual Services,SOW - ANT SEA,03/27/2018 12:00:00 AM,04/27/2018 12:00:00 AM,03/27/2018 12:00:00 AM,04/27/2018 12:00:00 AM,0.0,8250.0,0,8250.0,,Competitive,
"Attorney General, Office of the (ATG)",K9230,Judicial Dispute Resolution Llc,,SWV0031354-00,CB-Legal and Expert Witness Services,Mediation,03/29/2019 12:00:00 AM,05/29/2019 12:00:00 AM,03/29/2019 12:00:00 AM,05/29/2019 12:00:00 AM,0.0,1587.5,0,1587.5,,Competitive Solicitation - Exceptions,
"Attorney General, Office of the (ATG)",K9183,Casey  Paula Kay,,SWV0100242-00,CB-Legal and Expert Witness Services,Mediation,04/18/2019 12:00:00 AM,06/18/2019 12:00:00 AM,04/18/2019 12:00:00 AM,06/18/2019 12:00:00 AM,0.0,300.0,0,300.0,Financial No Max,Competitive Solicitation - Exceptions,
"Attorney General, Office of the (ATG)",2330,"Mullin, Allen, & Steiner",,,CB-Legal and Expert Witness Services,Outside Legal Services,05/01/2017 12:00:00 AM,09/30/2019 12:00:00 AM,05/01/2017 12:00:00 AM,09/30/2019 12:00:00 AM,0.0,82496.0,0,0.0,,Competitive Solicitation - Exceptions,
"Attorney General, Office of the (ATG)",10525716 (6),Cowan Miller & Lederman PS,,,CB-Legal and Expert Witness Services,Outside Legal Services,09/06/2011 12:00:00 AM,09/30/2021 12:00:00 AM,09/06/2011 12:00:00 AM,09/30/2021 12:00:00 AM,0.0,130000.0,0,130000.0,,Competitive,
"Attorney General, Office of the (ATG)",K9058,Moe  Royce Howard,,SWV0183036-00,CB-Legal and Expert Witness Services,Mediation,03/29/2019 12:00:00 AM,06/03/2019 12:00:00 AM,03/29/2019 12:00:00 AM,06/03/2019 12:00:00 AM,0.0,0.0,0,0.0,Financial No Max,Competitive Solicitation - Exceptions,
"Attorney General, Office of the (ATG)",K9074,Carson Law Group Ps,,SWV0080322-00,CB-Legal and Expert Witness Services,Mediation,04/04/2019 12:00:00 AM,06/04/2019 12:00:00 AM,04/04/2019 12:00:00 AM,06/04/2019 12:00:00 AM,0.0,337.5,0,337.5,,Competitive Solicitation - Exceptions,
"Attorney General, Office of the (ATG)",K9027,Castleberry  Ronald,,SWV0185061-00,CB-Legal and Expert Witness Services,Mediation,03/11/2019 12:00:00 AM,05/11/2019 12:00:00 AM,03/11/2019 12:00:00 AM,05/11/2019 12:00:00 AM,0.0,0.0,0,0.0,Financial No Max,Competitive Solicitation - Exceptions,
Arts Commission (ART),AIE2019-080,Janet Napoles,,0085575,"CA-Management, Organizational and Major Information Technology Services",,10/21/2018 12:00:00 AM,10/22/2018 12:00:00 AM,10/21/2018 12:00:00 AM,10/22/2018 12:00:00 AM,0.0,580.83,0,580.83,,Direct Buy - Non-Competitive,
Arts Commission (ART),AIE2019-011,Seattle Children's Theatre,,0024447,"CA-Management, Organizational and Major Information Technology Services",,09/15/2018 12:00:00 AM,06/30/2019 12:00:00 AM,09/15/2018 12:00:00 AM,06/30/2019 12:00:00 AM,35000.0,2000.0,3000,40000.0,,Direct Buy - Non-Competitive,
"Attorney General, Office of the (ATG)",K9114,Harbaugh & Bloom Ps,,SWV0031555-00,CB-Legal and Expert Witness Services,Mediation,05/13/2019 12:00:00 AM,07/13/2019 12:00:00 AM,05/13/2019 12:00:00 AM,07/13/2019 12:00:00 AM,0.0,0.0,0,0.0,Financial No Max,Competitive Solicitation - Exceptions,
