inspection_date,inspector,district,subdistrict,subsector,permit_number,dba,permit_type,street_address,street_address_clean,inspection_type,inspection_frequency_type,total_time,facility_rating_status,census,suspension_notes,inspection_notes,violation_count,violation_codes,latitude,longitude,point,analysis_neighborhood,supervisor_district,data_as_of,data_loaded_at
2025/04/23 12:00:00 AM,Sophia Huie,1,103,607,06735053,Crazy Crab Sec 317,H36 - STADIUM CONCESSIONS (PERM),24 WILLIE MAYS PLZ # VIEW L,3RD ST & KING ST,Routine,1.0,10.0,Pass,STADIUM,,,1.0,"113953(c), 114163(a)(3), 114189, 114192.1, 114195, 114279 - Immediately provide hot running potable water of at least 120°F or greater for the entire food preparation facility.",37.778130000001,-122.391855000002,POINT (-122.391855 37.77813),Mission Bay,6.0,2025/05/20 11:15:25 AM,2025/05/20 11:33:47 AM
2025/05/05 12:00:00 AM,Sojeatta Khim,1,103,609,90643,ZEE COOKS / CREPERIE SAINT GERMAIN,H30 - CATERING FACILITIES,1760 CESAR CHAVEZ #UNIT L,1760 CESAR CHAVEZ,Routine,2.0,45.0,Pass,,,,,,37.749880785732,-122.394534578718,POINT (-122.394534579 37.749880786),Bayview Hunters Point,10.0,2025/05/20 11:15:25 AM,2025/05/20 11:33:47 AM
2025/05/06 12:00:00 AM,Jessica Jang,5,501,426,109897,ACEKING BBQ,"H25 - RESTAURANT 1,000 - 2,000 SQFT",1820 CLEMENT ST,1820 CLEMENT ST,Routine,2.0,130.0,Closure,426,,,14.0,"114130-114130.5, 114132, 114133, 114137, 114139, 114153, 114163, 114165, 114167, 114169, 114175, 114177, 114180, 114182 - Ensure all equipment is approved, properly installed, clean, and maintained in good repair. Ensure all appliances are NSF-approved, commercial grade, durable, and easily cleanable., 113984(d), 114097, 114099.1, 114099.4, 114099.6, 114101(b, c, d), 114105, 114109, 114111, 114113, 11415 (a, b, D), 114117, 114125(b), 114141 - Properly wash, rinse and sanitize all food contact surfaces. Make a 100 ppm bleach sanitizing solution or a 200 ppm quaternary ammonia solution for the third compartment., 113996, 113998, 114037, 114429, 114429.3, 114429.5 - Keep potentially hazardous foods (PHF) cold at 41°F or below or hot held at 135°F or above. Immediately discontinue storing PHF at room temperature., 113947 - Provide training to staff regarding safe food handling practices, adequate allergen knowledge and/or assigned duties., 114259, 114259.1, 114259.4, 114259.5 - Eliminate the infestation/activity of cockroaches/rodents/flies/vermin from the food facility by using only approved methods. Remove all evidence of the infestation and thoroughly clean and sanitize all affected surfaces. Construct, equip, maintain and operate the food facility so as to prevent the entrance and harborage of animals, birds and vermin including, but not limited to, rodents and insects.,  - IMMEDIATE HEALTH PERMIT SUSPENSION AND CLOSURE The permit to operate the above named food facility is hereby temporarily suspended, and the facility is ordered immediately closed under the authority of Sections 114405 and 114409 of Division 104, Part 7, Chapter 13, Article 3 of the California Health and Safety Code and/or City and County of San Francisco Health Code §§ 440 (j) and 440.1. The attached Inspection Report specifies the conditions that warrant this closure and the Sections of the law that are being violated. Any food facility for which the permit has been temporarily suspended shall cease all food handling, close and remain closed until all conditions warranting the closure are corrected and your permit has been reinstated by a representative of Environmental Health.   You are hereby notified that you have the right to request a hearing, within 15 calendar days after service of this Notice to show cause why the permit suspension is not warranted. Your failure to request a hearing within 15 calendar days shall be deemed a waiver of your right to a hearing.   An owner, manager or operator who fails to comply with this Closure Notice may be found guilty of a misdemeanor, with a possible fine of $1,000.00 and/or imprisonment for not more than six months for each offense. This Health Permit Suspension and Closure Notice is issued to you under the authority of the California Health and Safety Code, Division 104, Part 7, Chapter 13, Article 3. Copies of the Code Sections referred to herein may be reviewed at most public libraries, the Internet, or at Environmental Health. Contact this office at the number noted above, during normal days of business to request a re-inspection, or if you have any questions. If you are calling after 4:30 pm or on weekends, leave a message at (415) 252-3800 and an inspector/on call staff will call you back at their earliest convenience.   The CLOSED placard was issued and posted this date. The Closure placard shall not be removed, moved, blocked, or obstructed in any manner. The Closure placard shall only be removed by an inspector from this Department., 114018, 114020 - Discontinue thawing potentially hazardous foods at room temperature or in standing water. Use one of the following approved methods:  - Under potable running water of sufficient velocity to wash away loose food particles using water no greater than 70°F for no more than 2 hours.  - In a refrigeration unit at 41°F or below  - In a microwave  - As part of the cooking process, 114067(h), 114123, 114143(a, b), 114256-114256.2, 114256.4, 114257-114257.1, 114259, 114259.2-114259.3, 114279, 114281, 114282 - Keep clean and free of litter or rubbish the premises of each food facility; non-food items shall be stored and displayed separate from food and food-contact surfaces; the facility shall be kept vermin proof; open-air barbecues shall be operated in an approved manner., 114143(d), 114266, 114268, 114268.1, 114271, 114272 - Provide walls / ceilings using materials that are durable, smooth, nonabsorbent, light-colored, and washable surfaces. All floor surfaces, other than the customer service areas, shall be approved, smooth, durable, and made of nonabsorbent material that is easily cleanable. Approved base coving shall be provided in all areas, except customer service areas and where food is stored in original unopened containers. Food facilities shall be fully enclosed. All food facilities shall be kept clean and in good repair., 113952, 113953.3, 113953.4, 113961, 113973 - Properly wash hands with hand soap and warm water for a minimum of 10 seconds at the hand washing station when beginning work; before handling food/equipment/utensils; as often as necessary during food preparation to remove soil and contamination; switching from working with raw to ready-to-eat foods; after touching body parts; after using toilet room; contamination of hands occurs. Food employees shall minimize contact with exposed, ready-to-eat food with their bare hands and shall use suitable utensils, gloves, or dispensing equipment., 113980, 113984 (a, b, d, e, f), 113986, 114060, 114067 (a, d, e), 114069, 114073, 114077, 114089.1(c), 114143(c) - Ensure all food is separated and protected from potential cross contamination. Store produce and ready-to-eat foods completely separate or above raw foods including but not limited to raw eggs, fish, meat, ratites, game animals, and poultry. Provide adequate sneeze-guard protection, a container that has a tight fitting and securely attached lid, or dispense food from an approved mechanical dispenser., 114047, 114049, 114051, 114053, 114055, 114069(b) - Elevate all food at least 6 inches off of the floor to prevent contamination. Properly label bulk ingredient/food containers with common name., 113967, 113976, 113980, 113988, 113990, 114035, 114254.3, 113975 - Discard all contaminated/adulterated food immediately if it bears or contains any poisonous or deleterious substance that may render it impure or injurious to health., 113953, 113953.1, 113953.2, 114067(f) - Provide soap and single-use towels in dispensers, or a drying device at each handwash sink at all times. Maintain all handwash sinks unobstructed and accessible at all times.",37.782540000001,-122.478925500002,POINT (-122.4789255 37.78254),Outer Richmond,1.0,2025/05/20 11:15:25 AM,2025/05/20 11:33:47 AM
2025/05/05 12:00:00 AM,Abel Simon,5,502,402,06743755,APPLE LAND MARKET,H03 - RETAIL MKTS W/O PREP (UNDER 5001),843 CLEMENT ST,843 CLEMENT ST,New Ownership (R),2.0,45.0,Pass,402,,,,,37.782558000001,-122.468463000002,POINT (-122.468463 37.782558),Inner Richmond,1.0,2025/05/20 11:15:25 AM,2025/05/20 11:33:47 AM
2024/03/13 12:00:00 AM,Farhan Khan,1,102,179,54317,LOCAL KITCHEN & WINE MERCHANT,"H26 - RESTAURANT OVER 2,000 SQFT",330 1ST ST,330 1ST ST,Site Visit,2.0,30.0,Pass,179,,,1.0,- An Abatement Conference has been scheduled for failure to comply with CA Health & Safety Code Sections.   You are requested to appear to show cause as to why these violations are outstanding. Failure to appear may result in summary enforcement action by the Department of Public Health or Injunctive action by the City Attorney's Office.,37.786788000001,-122.394231000002,POINT (-122.394231 37.786788),Financial District/South Beach,6.0,2025/05/20 11:15:25 AM,2025/05/20 11:33:47 AM
2025/03/05 12:00:00 AM,Carlos Barragan,3,304,208,06743627,ANATOLIAN TABLE INC,"H26 - RESTAURANT OVER 2,000 SQFT",702 VALENCIA ST,702 VALENCIA ST,New Ownership (R),2.0,75.0,Pass,207,,,,,37.761525000001,-122.421802500002,POINT (-122.4218025 37.761525),Mission,9.0,2025/05/20 11:15:25 AM,2025/05/20 11:33:47 AM
2025/05/13 12:00:00 AM,Sophia Huie,2,203,114A,93223,THE DANISH & DONUT CORNER,"H25 - RESTAURANT 1,000 - 2,000 SQFT",145 COLUMBUS AVE,145 COLUMBUS AVE,Reinspection,1.0,30.0,Pass,115,,,,,37.796679000001,-122.405166000002,POINT (-122.405166 37.796679),Chinatown,3.0,2025/05/20 11:15:25 AM,2025/05/20 11:33:47 AM
2025/05/14 12:00:00 AM,Katie Dea,3,304,177,06733994,BAR BRUCATO,"H26 - RESTAURANT OVER 2,000 SQFT",275 S VAN NESS AVE,275 S VAN NESS AVE,Reinspection,2.0,15.0,Pass,177,,,,,37.768815000001,-122.417617500002,POINT (-122.4176175 37.768815),Mission,9.0,2025/05/20 11:15:25 AM,2025/05/20 11:33:47 AM
2025/05/16 12:00:00 AM,John  Wells,2,208,123,FYF119914,JASPER'S CORNER TAP AND KITCHEN,"H26 - RESTAURANT OVER 2,000 SQFT",401 TAYLOR ST,401 TAYLOR ST,Reinspection,1.0,30.0,Pass,123,,,,,37.786167000001,-122.411700000002,POINT (-122.4117 37.786167),Tenderloin,5.0,2025/05/20 11:15:25 AM,2025/05/20 11:33:47 AM
2025/05/09 12:00:00 AM,Abel Simon,No District,No Sub District,No Sub Sector,70045,JOHNNY DOUGHNUTS,H79 - MOBILE FOOD FACILITY CLASS 5,1617 4TH ST,1617 4TH ST,Structural,1.0,30.0,,MFF-2,,,2.0,"CRFC 114205, 114213, 114229 - Provide an adequately sized wastewater tank constructed in an approved manner., CRFC 114295 - Provide a completed commissary verification form.",37.76851234415,-122.390941020221,POINT (-122.39094102 37.768512344),Mission Bay,6.0,2025/05/20 11:15:25 AM,2025/05/20 11:33:47 AM
2025/05/09 12:00:00 AM,Luz Brown,5,502,401,106291,TOY BOAT BY JANE,"H24 - RESTAURANT UNDER 1,000 SQFT",401 CLEMENT STREET,401 CLEMENT STREET,,1.0,60.0,Pass,401,,,,,37.782747000001,-122.463526500002,POINT (-122.4635265 37.782747),Inner Richmond,1.0,2025/05/20 11:15:25 AM,2025/05/20 11:33:47 AM
2025/05/13 12:00:00 AM,John  Wells,2,208,125A,13582,BURGER KING,"H26 - RESTAURANT OVER 2,000 SQFT",35 POWELL ST,35 POWELL ST,Routine,2.0,45.0,Pass,125A,,,4.0,"114381 [e], 114381(a), 114387 - Make available the most recent routine inspection report. Post the Health Permit to Operate and restaurant license certificate in a conspicuous area for public view., 114000 - Label all potentially hazardous foods for use with Time as a Public Health Control implementation with the date and discard time. The discard time shall be 4 hours after food preparation has begun or after removing from proper temperature controls of 41°F or 135°F. Discard potentially hazardous foods, under Time as a Public Health Control, when 4 hours have elapsed. Obtain written approval for Time as Public Health Control from San Francisco Environmental Health., 113953(c), 114163(a)(3), 114189, 114192.1, 114195, 114279 - Immediately provide hot running potable water of at least 120°F or greater for the entire food preparation facility., 114130-114130.5, 114132, 114133, 114137, 114139, 114153, 114163, 114165, 114167, 114169, 114175, 114177, 114180, 114182 - Ensure all equipment is approved, properly installed, clean, and maintained in good repair. Ensure all appliances are NSF-approved, commercial grade, durable, and easily cleanable.",37.785042000001,-122.408163000002,POINT (-122.408163 37.785042),Tenderloin,3.0,2025/05/20 11:15:25 AM,2025/05/20 11:33:47 AM
2025/05/06 12:00:00 AM,Japjit Deol,1,105,261,06733433,D7N COFFEE & TEA,"H24 - RESTAURANT UNDER 1,000 SQFT",5301 MISSION ST STE B,5301 MISSION ST,Routine,2.0,27.0,Pass,261,,,,,37.714485933622,-122.44272093741,POINT (-122.442720937 37.714485934),Excelsior,11.0,2025/05/20 11:15:25 AM,2025/05/20 11:33:47 AM
2024/07/18 12:00:00 AM,Joanna Huber,2,206,116,T72319,Safeway Store #4601,H31 - TOBACCO SALES - ANNUAL LICENSE FEE,145 JACKSON ST,145 JACKSON ST,Routine,1.0,30.0,,116,,,3.0,"San Francisco Health Code Article 19F SECT. 1009 .22 (i)(2) - PROHIBITING SMOKING IN BUILDINGS, CERTAIN VEHICLES, CERTAIN UNENCLOSED AREAS, ENCLOSED STRUCTURES CONTAINING CERTAIN USES, AND SPORTS STADIUMS, San Francisco Health Code Article 19P.4  - SIGNAGE., San Francisco Health Code Article 19O.6 - SIGNS.",37.796571000001,-122.398839000002,POINT (-122.398839 37.796571),Financial District/South Beach,3.0,2025/05/20 11:15:25 AM,2025/05/20 11:33:47 AM
2025/05/15 12:00:00 AM,Michael Mooney,2,203,107A,87649,CHIEF SULLIVAN'S,"H26 - RESTAURANT OVER 2,000 SQFT",622 GREEN ST,622 GREEN ST,Routine,2.0,30.0,Pass,107A,,,1.0,"114115 (b,c) - Maintain nonfood contact surfaces clean. Thoroughly clean and degrease the cooking equipment and shelves above cooking equipment.",37.799559000001,-122.409679500002,POINT (-122.4096795 37.799559),Chinatown,3.0,2025/05/20 11:15:25 AM,2025/05/20 11:33:47 AM
2025/04/23 12:00:00 AM,Sophia Huie,1,103,607,06734868,DOGGIE DINER STAND-Sec 316,H36 - STADIUM CONCESSIONS (PERM),24 WILLIE MAYS PLZ # VIEW L,3RD ST & KING ST,Routine,1.0,10.0,Pass,STADIUM,,,,,37.778130000001,-122.391855000002,POINT (-122.391855 37.77813),Mission Bay,6.0,2025/05/20 11:15:25 AM,2025/05/20 11:33:47 AM
2024/04/18 12:00:00 AM,Aron Wong,1,103,607,06733866,MARGARITA BEER CART- 314,H36 - STADIUM CONCESSIONS (PERM),24 WILLIE MAYS PLZ # VIEW L,3RD ST & KING ST,Routine,1.0,15.0,Pass,,,,1.0,"113953, 113953.1, 113953.2, 114067(f) - Provide soap and single-use towels in dispensers, or a drying device at each handwash sink at all times. Maintain all handwash sinks unobstructed and accessible at all times.",37.778130000001,-122.391855000002,POINT (-122.391855 37.77813),Mission Bay,6.0,2025/05/20 11:15:25 AM,2025/05/20 11:33:47 AM
2025/05/05 12:00:00 AM,Michael Mooney,2,201,106,119349,CHEESEBOAT,"H25 - RESTAURANT 1,000 - 2,000 SQFT",1224 GRANT AVE,1224 GRANT AVE,Site Visit,2.0,60.0,Pass,106,,,,,37.798362000001,-122.406952500002,POINT (-122.4069525 37.798362),North Beach,3.0,2025/05/20 11:15:25 AM,2025/05/20 11:33:47 AM
2024/12/17 12:00:00 AM,Luz Brown,1,103,607,06734641,"CANTEEN - UCSF, Floor 2",H61 - VENDING MACHINES - COMPANIES,600 16TH ST,600 16TH ST,,1.0,30.0,,607,,,,,37.767105000001,-122.392296000002,POINT (-122.392296 37.767105),Mission Bay,6.0,2025/05/20 11:15:25 AM,2025/05/20 11:33:47 AM
2024/07/11 12:00:00 AM,William Bajjalieh,5,505,329,H2406732522,DAYDREAM CAKE SHOP,"H24 - RESTAURANT UNDER 1,000 SQFT",1788 32ND AVE,1788 32ND AVE,Routine,1.0,45.0,Pass,329,,,2.0,"113953, 113953.1, 113953.2, 114067(f) - Provide soap and single-use towels in dispensers, or a drying device at each handwash sink at all times. Maintain all handwash sinks unobstructed and accessible at all times., 114254-114254.2 - Administer all pesticides through a state licensed pest control operator. Immediately discontinue the use of unapproved pesticide at the food facility. Store all poisonous substances, detergents, bleaches, and cleaning compounds away from food, utensils, packaging materials, and food-contact surfaces. Provide label to working containers of chemicals taken from bulk supplies with the common name of the material. Provide legible manufacturer's label to containers of poisonous or toxic materials and personal care items.",37.753902000001,-122.490198000002,POINT (-122.490198 37.753902),Sunset/Parkside,4.0,2025/05/20 11:15:25 AM,2025/05/20 11:33:47 AM
2025/05/06 12:00:00 AM,Luz Brown,3,304,177,06744066,TBD (Previously Jamber),"H26 - RESTAURANT OVER 2,000 SQFT",49 S Van Ness Ave 7th Floor,49 S VAN NESS AVE 7TH FLOOR,,2.0,75.0,Pass,178,,,,,37.774431000001,-122.418045000002,POINT (-122.418045 37.774431),Mission,6.0,2025/05/20 11:15:25 AM,2025/05/20 11:33:47 AM
2025/05/13 12:00:00 AM,Michael Mooney,2,206,116,06733547,LE PETIT CAFE,"H25 - RESTAURANT 1,000 - 2,000 SQFT",1 MARITIME PLZ FL LE,1 MARITIME PLZ,Site Visit,2.0,15.0,Pass,116,,,1.0,"114381 [e], 114381(a), 114387 - Make available the most recent routine inspection report. Post the Health Permit to Operate and restaurant license certificate in a conspicuous area for public view.",37.79532,-122.399187,POINT (-122.399187 37.79532),Financial District/South Beach,3.0,2025/05/20 11:15:25 AM,2025/05/20 11:33:47 AM
2025/05/15 12:00:00 AM,Patrick Wood,1,105,255,06743975,ZABB CUISINE,"H25 - RESTAURANT 1,000 - 2,000 SQFT",4440 MISSION ST,4440 MISSION ST,New Ownership (R),2.0,-570.0,Pass,255,,,,,37.726632000001,-122.433709500002,POINT (-122.4337095 37.726632),Outer Mission,11.0,2025/05/20 11:15:25 AM,2025/05/20 11:33:47 AM
2025/05/07 12:00:00 AM,Maribel Rodriguez,3,309,229,115178,RUTH'S,H87 - BARS/TAVERNS W/FOOD PREP,3050 24TH ST,3050 24TH ST,Routine,1.0,60.0,Pass,229,,,5.0,"114130-114130.5, 114132, 114133, 114137, 114139, 114153, 114163, 114165, 114167, 114169, 114175, 114177, 114180, 114182 - Ensure all equipment is approved, properly installed, clean, and maintained in good repair. Ensure all appliances are NSF-approved, commercial grade, durable, and easily cleanable., 114074, 114081, 114119, 114121, 114161, 114178, 114179, 114083, 114185, 114185.2, 114185.3, 114185.4, 114185.5 - All clean and soiled linen shall be properly stored; non-food items shall be stored and displayed separate from food and food-contact surfaces. Utensils and equipment shall be handled and stored so as to be protected from contamination., 113984(d), 114097, 114099.1, 114099.4, 114099.6, 114101(b, c, d), 114105, 114109, 114111, 114113, 11415 (a, b, D), 114117, 114125(b), 114141 - Properly wash, rinse and sanitize all food contact surfaces. Make a 100 ppm bleach sanitizing solution or a 200 ppm quaternary ammonia solution for the third compartment., 114067(h), 114123, 114143(a, b), 114256-114256.2, 114256.4, 114257-114257.1, 114259, 114259.2-114259.3, 114279, 114281, 114282 - Keep clean and free of litter or rubbish the premises of each food facility; non-food items shall be stored and displayed separate from food and food-contact surfaces; the facility shall be kept vermin proof; open-air barbecues shall be operated in an approved manner., 114143(d), 114266, 114268, 114268.1, 114271, 114272 - Provide walls / ceilings using materials that are durable, smooth, nonabsorbent, light-colored, and washable surfaces. All floor surfaces, other than the customer service areas, shall be approved, smooth, durable, and made of nonabsorbent material that is easily cleanable. Approved base coving shall be provided in all areas, except customer service areas and where food is stored in original unopened containers. Food facilities shall be fully enclosed. All food facilities shall be kept clean and in good repair.",37.752777000001,-122.413230000002,POINT (-122.41323 37.752777),Mission,9.0,2025/05/20 11:15:25 AM,2025/05/20 11:33:47 AM
2025/05/13 12:00:00 AM,Ivy Phan,4,401,155,M01641,KABUKI SPRINGS & SPA,H67 - MASSAGE ESTABLISHMENT,1750 GEARY BLVD,1750 GEARY BLVD,Routine,,45.0,Pass,155,,,,,37.784979000001,-122.431864500002,POINT (-122.4318645 37.784979),Japantown,5.0,2025/05/20 11:15:25 AM,2025/05/20 11:33:47 AM
2025/05/06 12:00:00 AM,Amy Johnson,4,404,169,15417,GEORGES MARKET,H03 - RETAIL MKTS W/O PREP (UNDER 5001),702 14TH ST,702 14TH ST,Reinspection,1.0,60.0,Pass,169,,,,,37.767834000001,-122.429272500002,POINT (-122.4292725 37.767834),Castro/Upper Market,8.0,2025/05/20 11:15:25 AM,2025/05/20 11:33:47 AM
2025/05/19 12:00:00 AM,Farhan Khan,1,102,179,06743974,SEXTANT COFFEE ROASTERS,"H25 - RESTAURANT 1,000 - 2,000 SQFT",201 3RD ST,201 3RD ST,Site Visit,2.0,15.0,Pass,179,,,,,37.785051000001,-122.399829000002,POINT (-122.399829 37.785051),Financial District/South Beach,6.0,2025/05/20 11:15:25 AM,2025/05/20 11:33:47 AM
2025/05/13 12:00:00 AM,Jessica Jang,5,501,479,99798,BUTTER LOVE BAKESHOP,H88 - RETAIL BAKERIES WITH FOOD PREP,3717 BALBOA ST,3717 BALBOA ST,Routine,1.0,65.0,Pass,479,,,8.0,"114143(d), 114266, 114268, 114268.1, 114271, 114272 - Provide walls / ceilings using materials that are durable, smooth, nonabsorbent, light-colored, and washable surfaces. All floor surfaces, other than the customer service areas, shall be approved, smooth, durable, and made of nonabsorbent material that is easily cleanable. Approved base coving shall be provided in all areas, except customer service areas and where food is stored in original unopened containers. Food facilities shall be fully enclosed. All food facilities shall be kept clean and in good repair., 114254-114254.2 - Administer all pesticides through a state licensed pest control operator. Immediately discontinue the use of unapproved pesticide at the food facility. Store all poisonous substances, detergents, bleaches, and cleaning compounds away from food, utensils, packaging materials, and food-contact surfaces. Provide label to working containers of chemicals taken from bulk supplies with the common name of the material. Provide legible manufacturer's label to containers of poisonous or toxic materials and personal care items., 114067(h), 114123, 114143(a, b), 114256-114256.2, 114256.4, 114257-114257.1, 114259, 114259.2-114259.3, 114279, 114281, 114282 - Keep clean and free of litter or rubbish the premises of each food facility; non-food items shall be stored and displayed separate from food and food-contact surfaces; the facility shall be kept vermin proof; open-air barbecues shall be operated in an approved manner., 113980, 113984 (a, b, d, e, f), 113986, 114060, 114067 (a, d, e), 114069, 114073, 114077, 114089.1(c), 114143(c) - Ensure all food is separated and protected from potential cross contamination. Store produce and ready-to-eat foods completely separate or above raw foods including but not limited to raw eggs, fish, meat, ratites, game animals, and poultry. Provide adequate sneeze-guard protection, a container that has a tight fitting and securely attached lid, or dispense food from an approved mechanical dispenser., 114130-114130.5, 114132, 114133, 114137, 114139, 114153, 114163, 114165, 114167, 114169, 114175, 114177, 114180, 114182 - Ensure all equipment is approved, properly installed, clean, and maintained in good repair. Ensure all appliances are NSF-approved, commercial grade, durable, and easily cleanable., 114000 - Label all potentially hazardous foods for use with Time as a Public Health Control implementation with the date and discard time. The discard time shall be 4 hours after food preparation has begun or after removing from proper temperature controls of 41°F or 135°F. Discard potentially hazardous foods, under Time as a Public Health Control, when 4 hours have elapsed. Obtain written approval for Time as Public Health Control from San Francisco Environmental Health., 113984(d), 114097, 114099.1, 114099.4, 114099.6, 114101(b, c, d), 114105, 114109, 114111, 114113, 11415 (a, b, D), 114117, 114125(b), 114141 - Properly wash, rinse and sanitize all food contact surfaces. Make a 100 ppm bleach sanitizing solution or a 200 ppm quaternary ammonia solution for the third compartment., 113953, 113953.1, 113953.2, 114067(f) - Provide soap and single-use towels in dispensers, or a drying device at each handwash sink at all times. Maintain all handwash sinks unobstructed and accessible at all times.",37.775403000001,-122.498752500002,POINT (-122.4987525 37.775403),Outer Richmond,1.0,2025/05/20 11:15:25 AM,2025/05/20 11:33:47 AM
2025/03/17 12:00:00 AM,Danny Lee,No District,No Sub District,No Sub Sector,89282,TAQUERIA ANGELICA'S,H79 - MOBILE FOOD FACILITY CLASS 5,107 S LINDEN AVE,107 S LINDEN AVE,Structural,1.0,25.0,,MFF-2,,,,,37.646360944556,-122.413106249415,POINT (-122.413106249 37.646360945),,,2025/05/20 11:15:25 AM,2025/05/20 11:33:47 AM
2025/03/17 12:00:00 AM,Philips Ossai,No District,No Sub District,No Sub Sector,95019,CIELITO LINDO MSK,H79 - MOBILE FOOD FACILITY CLASS 5,2356 PALO VERDE AVE,2356 PALO VERDE AVE,Structural,1.0,25.0,,MFF-3,,,,,,,,,,2025/05/20 11:15:25 AM,2025/05/20 11:33:47 AM
2025/05/13 12:00:00 AM,Sharon Aguila-Leonard,5,503,302,118233,YOMA CAFE,"H24 - RESTAURANT UNDER 1,000 SQFT",1518 IRVING ST,1518 IRVING ST,Routine,2.0,105.0,Conditional Pass,302,,,1.0,"113953, 113953.1, 113953.2, 114067(f) - Provide soap and single-use towels in dispensers, or a drying device at each handwash sink at all times. Maintain all handwash sinks unobstructed and accessible at all times.",37.763937000001,-122.474313000002,POINT (-122.474313 37.763937),Inner Sunset,7.0,2025/05/20 11:15:25 AM,2025/05/20 11:33:47 AM
2025/03/13 12:00:00 AM,Sophia Huie,No District,No Sub District,No Sub Sector,97079,STERNE SCHOOL,H90 - SCHOOL CAFETERIAS (PRIVATE W/O FOOD PREP),838 KEARNY ST,838 KEARNY ST,Routine,2.0,30.0,Pass,115,,,,,37.795905000001,-122.404923000002,POINT (-122.404923 37.795905),Chinatown,3.0,2025/05/20 11:15:25 AM,2025/05/20 11:33:47 AM
2025/03/05 12:00:00 AM,Genesis  Del Rio,5,505,329,T01208,HAMTINI DISCOUNT,H31 - TOBACCO SALES - ANNUAL LICENSE FEE,2431 NORIEGA ST,2431 NORIEGA ST,Routine,1.0,47.0,,329,,,,,37.753398000001,-122.489946000002,POINT (-122.489946 37.753398),Sunset/Parkside,4.0,2025/05/20 11:15:25 AM,2025/05/20 11:33:47 AM
2025/05/07 12:00:00 AM,John  Wells,2,208,123,06733130,UNION SQUARE PIZZA & KITCHEN,"H24 - RESTAURANT UNDER 1,000 SQFT",284 OFARRELL ST,284 OFARRELL ST,Routine,2.0,45.0,Pass,123,,,3.0,"114074, 114081, 114119, 114121, 114161, 114178, 114179, 114083, 114185, 114185.2, 114185.3, 114185.4, 114185.5 - All clean and soiled linen shall be properly stored; non-food items shall be stored and displayed separate from food and food-contact surfaces. Utensils and equipment shall be handled and stored so as to be protected from contamination., 114143(d), 114266, 114268, 114268.1, 114271, 114272 - Provide walls / ceilings using materials that are durable, smooth, nonabsorbent, light-colored, and washable surfaces. All floor surfaces, other than the customer service areas, shall be approved, smooth, durable, and made of nonabsorbent material that is easily cleanable. Approved base coving shall be provided in all areas, except customer service areas and where food is stored in original unopened containers. Food facilities shall be fully enclosed. All food facilities shall be kept clean and in good repair., 113996, 113998, 114037, 114429, 114429.3, 114429.5 - Keep potentially hazardous foods (PHF) cold at 41°F or below or hot held at 135°F or above. Immediately discontinue storing PHF at room temperature.",37.786356000001,-122.409535500002,POINT (-122.4095355 37.786356),Tenderloin,3.0,2025/05/20 11:15:25 AM,2025/05/20 11:33:47 AM
2024/04/18 12:00:00 AM,Aron Wong,1,103,607,06733801,SUPER DUPER BURGER STAND- sec 136,H36 - STADIUM CONCESSIONS (PERM),24 WILLIE MAYS PLZ # PROMEN,3RD ST & KING ST,Routine,1.0,30.0,Pass,STADIUM,,,,,37.778130000001,-122.391855000002,POINT (-122.391855 37.77813),Mission Bay,6.0,2025/05/20 11:15:25 AM,2025/05/20 11:33:47 AM
