,source,compare,col_iguais,col_diferentes,col_dificuldade,country,total_col
3722,USA_CSV0000000000020206.csv,USA_CSV0000000000005749.csv,25,7,0.21875,USA,32
3724,USA_CSV0000000000020206.csv,USA_CSV0000000000016979.csv,25,7,0.21875,USA,32
3732,USA_CSV0000000000020493.csv,USA_CSV0000000000036673.csv,24,8,0.25,USA,32
3753,USA_CSV0000000000020627.csv,USA_CSV0000000000020206.csv,25,7,0.21875,USA,32
3754,USA_CSV0000000000020627.csv,USA_CSV0000000000013185.csv,26,5,0.1612903225806451,USA,31
3791,USA_CSV0000000000023414.csv,USA_CSV0000000000035932.csv,8,25,0.7575757575757576,USA,33
3793,USA_CSV0000000000023414.csv,USA_CSV0000000000033874.csv,9,25,0.7352941176470589,USA,34
3795,USA_CSV0000000000023414.csv,USA_CSV0000000000034754.csv,8,23,0.7419354838709677,USA,31
3810,USA_CSV0000000000024259.csv,USA_CSV0000000000036673.csv,24,8,0.25,USA,32
3812,USA_CSV0000000000024259.csv,USA_CSV0000000000035769.csv,23,10,0.303030303030303,USA,33
3853,USA_CSV0000000000025463.csv,USA_CSV0000000000035934.csv,9,29,0.7631578947368421,USA,38
3854,USA_CSV0000000000025463.csv,USA_CSV0000000000033874.csv,11,22,0.6666666666666666,USA,33
3855,USA_CSV0000000000025463.csv,USA_CSV0000000000033252.csv,12,19,0.6129032258064516,USA,31
3856,USA_CSV0000000000025463.csv,USA_CSV0000000000029730.csv,9,22,0.7096774193548387,USA,31
3870,USA_CSV0000000000025644.csv,USA_CSV0000000000005710.csv,7,24,0.7741935483870968,USA,31
3893,USA_CSV0000000000026175.csv,USA_CSV0000000000035769.csv,25,6,0.1935483870967742,USA,31
3902,USA_CSV0000000000026175.csv,USA_CSV0000000000036673.csv,24,8,0.25,USA,32
3916,USA_CSV0000000000026909.csv,USA_CSV0000000000033874.csv,10,21,0.6774193548387096,USA,31
3950,USA_CSV0000000000027843.csv,USA_CSV0000000000016853.csv,9,22,0.7096774193548387,USA,31
3952,USA_CSV0000000000027843.csv,USA_CSV0000000000036479.csv,9,22,0.7096774193548387,USA,31
3954,USA_CSV0000000000027843.csv,USA_CSV0000000000034787.csv,9,23,0.71875,USA,32
3976,USA_CSV0000000000029730.csv,USA_CSV0000000000036582.csv,9,25,0.7352941176470589,USA,34
3978,USA_CSV0000000000029730.csv,USA_CSV0000000000011253.csv,7,26,0.7878787878787878,USA,33
3979,USA_CSV0000000000029730.csv,USA_CSV0000000000018681.csv,7,26,0.7878787878787878,USA,33
3981,USA_CSV0000000000029730.csv,USA_CSV0000000000015129.csv,7,26,0.7878787878787878,USA,33
3982,USA_CSV0000000000029730.csv,USA_CSV0000000000025463.csv,9,22,0.7096774193548387,USA,31
3984,USA_CSV0000000000029730.csv,USA_CSV0000000000033252.csv,8,29,0.7837837837837838,USA,37
4024,USA_CSV0000000000031647.csv,USA_CSV0000000000016853.csv,8,24,0.75,USA,32
4025,USA_CSV0000000000031647.csv,USA_CSV0000000000035932.csv,8,27,0.7714285714285715,USA,35
4027,USA_CSV0000000000031647.csv,USA_CSV0000000000033874.csv,9,27,0.75,USA,36
4028,USA_CSV0000000000031647.csv,USA_CSV0000000000036479.csv,9,22,0.7096774193548387,USA,31
4031,USA_CSV0000000000031647.csv,USA_CSV0000000000034787.csv,8,25,0.7575757575757576,USA,33
4046,USA_CSV0000000000031786.csv,USA_CSV0000000000033872.csv,34,4,0.1052631578947368,USA,38
4054,USA_CSV0000000000031864.csv,USA_CSV0000000000037163.csv,16,17,0.5151515151515151,USA,33
4055,USA_CSV0000000000031864.csv,USA_CSV0000000000035353.csv,16,17,0.5151515151515151,USA,33
4056,USA_CSV0000000000031864.csv,USA_CSV0000000000035712.csv,16,17,0.5151515151515151,USA,33
4136,USA_CSV0000000000032812.csv,USA_CSV0000000000035712.csv,16,17,0.5151515151515151,USA,33
4137,USA_CSV0000000000032812.csv,USA_CSV0000000000037163.csv,16,17,0.5151515151515151,USA,33
4139,USA_CSV0000000000033015.csv,USA_CSV0000000000035353.csv,16,17,0.5151515151515151,USA,33
4140,USA_CSV0000000000033015.csv,USA_CSV0000000000035712.csv,16,17,0.5151515151515151,USA,33
4170,USA_CSV0000000000033133.csv,USA_CSV0000000000035902__3.csv,38,74,0.6607142857142857,USA,112
4171,USA_CSV0000000000033133.csv,USA_CSV0000000000035902__1.csv,38,74,0.6607142857142857,USA,112
4172,USA_CSV0000000000033133.csv,USA_CSV0000000000035902__6.csv,38,74,0.6607142857142857,USA,112
4173,USA_CSV0000000000033133.csv,USA_CSV0000000000035902__5.csv,38,74,0.6607142857142857,USA,112
4174,USA_CSV0000000000033133.csv,USA_CSV0000000000035902__4.csv,38,74,0.6607142857142857,USA,112
4176,USA_CSV0000000000033133.csv,USA_CSV0000000000035902__0.csv,38,74,0.6607142857142857,USA,112
4177,USA_CSV0000000000033133.csv,USA_CSV0000000000035902__2.csv,38,74,0.6607142857142857,USA,112
4245,USA_CSV0000000000033169__10.csv,USA_CSV0000000000033169__21.csv,7,27,0.7941176470588235,USA,34
4251,USA_CSV0000000000033169__11.csv,USA_CSV0000000000033169__22.csv,7,27,0.7941176470588235,USA,34
4253,USA_CSV0000000000033169__11.csv,USA_CSV0000000000033169__24.csv,7,27,0.7941176470588235,USA,34
4254,USA_CSV0000000000033169__11.csv,USA_CSV0000000000033169__23.csv,7,27,0.7941176470588235,USA,34
4255,USA_CSV0000000000033169__11.csv,USA_CSV0000000000033169__21.csv,7,27,0.7941176470588235,USA,34
4256,USA_CSV0000000000033169__11.csv,USA_CSV0000000000033169__20.csv,7,27,0.7941176470588235,USA,34
4259,USA_CSV0000000000033169__12.csv,USA_CSV0000000000033169__20.csv,7,27,0.7941176470588235,USA,34
4261,USA_CSV0000000000033169__12.csv,USA_CSV0000000000033169__23.csv,7,27,0.7941176470588235,USA,34
4264,USA_CSV0000000000033169__12.csv,USA_CSV0000000000033169__22.csv,7,27,0.7941176470588235,USA,34
4265,USA_CSV0000000000033169__13.csv,USA_CSV0000000000033169__21.csv,7,27,0.7941176470588235,USA,34
4270,USA_CSV0000000000033169__13.csv,USA_CSV0000000000033169__20.csv,7,27,0.7941176470588235,USA,34
4271,USA_CSV0000000000033169__13.csv,USA_CSV0000000000033169__24.csv,7,27,0.7941176470588235,USA,34
4272,USA_CSV0000000000033169__13.csv,USA_CSV0000000000033169__23.csv,7,27,0.7941176470588235,USA,34
4273,USA_CSV0000000000033169__13.csv,USA_CSV0000000000033169__22.csv,7,27,0.7941176470588235,USA,34
4281,USA_CSV0000000000033169__14.csv,USA_CSV0000000000033169__23.csv,7,27,0.7941176470588235,USA,34
4282,USA_CSV0000000000033169__14.csv,USA_CSV0000000000033169__21.csv,7,27,0.7941176470588235,USA,34
4283,USA_CSV0000000000033169__14.csv,USA_CSV0000000000033169__22.csv,7,27,0.7941176470588235,USA,34
4284,USA_CSV0000000000033169__14.csv,USA_CSV0000000000033169__24.csv,7,27,0.7941176470588235,USA,34
4344,USA_CSV0000000000033169__20.csv,USA_CSV0000000000034070__21.csv,8,25,0.7575757575757576,USA,33
4345,USA_CSV0000000000033169__20.csv,USA_CSV0000000000034070__22.csv,8,25,0.7575757575757576,USA,33
4346,USA_CSV0000000000033169__20.csv,USA_CSV0000000000034070.csv,19,58,0.7532467532467533,USA,77
4347,USA_CSV0000000000033169__20.csv,USA_CSV0000000000034070__23.csv,8,25,0.7575757575757576,USA,33
4348,USA_CSV0000000000033169__20.csv,USA_CSV0000000000034070__20.csv,8,25,0.7575757575757576,USA,33
4349,USA_CSV0000000000033169__20.csv,USA_CSV0000000000034070__24.csv,8,25,0.7575757575757576,USA,33
4352,USA_CSV0000000000033169__20.csv,USA_CSV0000000000033169__11.csv,7,27,0.7941176470588235,USA,34
4353,USA_CSV0000000000033169__20.csv,USA_CSV0000000000033169__14.csv,7,27,0.7941176470588235,USA,34
4355,USA_CSV0000000000033169__20.csv,USA_CSV0000000000033169__13.csv,7,27,0.7941176470588235,USA,34
4359,USA_CSV0000000000033169__21.csv,USA_CSV0000000000034070__21.csv,8,25,0.7575757575757576,USA,33
4360,USA_CSV0000000000033169__21.csv,USA_CSV0000000000034070__22.csv,8,25,0.7575757575757576,USA,33
4361,USA_CSV0000000000033169__21.csv,USA_CSV0000000000034070.csv,19,58,0.7532467532467533,USA,77
4362,USA_CSV0000000000033169__21.csv,USA_CSV0000000000034070__23.csv,8,25,0.7575757575757576,USA,33
4363,USA_CSV0000000000033169__21.csv,USA_CSV0000000000034070__20.csv,8,25,0.7575757575757576,USA,33
4364,USA_CSV0000000000033169__21.csv,USA_CSV0000000000034070__24.csv,8,25,0.7575757575757576,USA,33
4366,USA_CSV0000000000033169__21.csv,USA_CSV0000000000033169__10.csv,7,27,0.7941176470588235,USA,34
4370,USA_CSV0000000000033169__21.csv,USA_CSV0000000000033169__12.csv,7,27,0.7941176470588235,USA,34
4371,USA_CSV0000000000033169__21.csv,USA_CSV0000000000033169__13.csv,7,27,0.7941176470588235,USA,34
4373,USA_CSV0000000000033169__21.csv,USA_CSV0000000000033169__11.csv,7,27,0.7941176470588235,USA,34
4376,USA_CSV0000000000033169__22.csv,USA_CSV0000000000034070__21.csv,8,25,0.7575757575757576,USA,33
4377,USA_CSV0000000000033169__22.csv,USA_CSV0000000000034070__22.csv,8,25,0.7575757575757576,USA,33
4378,USA_CSV0000000000033169__22.csv,USA_CSV0000000000034070.csv,19,58,0.7532467532467533,USA,77
4379,USA_CSV0000000000033169__22.csv,USA_CSV0000000000034070__23.csv,8,25,0.7575757575757576,USA,33
4380,USA_CSV0000000000033169__22.csv,USA_CSV0000000000034070__20.csv,8,25,0.7575757575757576,USA,33
4381,USA_CSV0000000000033169__22.csv,USA_CSV0000000000034070__24.csv,8,25,0.7575757575757576,USA,33
4382,USA_CSV0000000000033169__22.csv,USA_CSV0000000000033169__12.csv,7,27,0.7941176470588235,USA,34
4386,USA_CSV0000000000033169__22.csv,USA_CSV0000000000033169__11.csv,7,27,0.7941176470588235,USA,34
4387,USA_CSV0000000000033169__22.csv,USA_CSV0000000000033169__10.csv,7,27,0.7941176470588235,USA,34
4393,USA_CSV0000000000033169__23.csv,USA_CSV0000000000034070__21.csv,8,25,0.7575757575757576,USA,33
4394,USA_CSV0000000000033169__23.csv,USA_CSV0000000000034070__22.csv,8,25,0.7575757575757576,USA,33
4395,USA_CSV0000000000033169__23.csv,USA_CSV0000000000034070.csv,19,58,0.7532467532467533,USA,77
4396,USA_CSV0000000000033169__23.csv,USA_CSV0000000000034070__23.csv,8,25,0.7575757575757576,USA,33
4397,USA_CSV0000000000033169__23.csv,USA_CSV0000000000034070__20.csv,8,25,0.7575757575757576,USA,33
4398,USA_CSV0000000000033169__23.csv,USA_CSV0000000000034070__24.csv,8,25,0.7575757575757576,USA,33
4401,USA_CSV0000000000033169__23.csv,USA_CSV0000000000033169__11.csv,7,27,0.7941176470588235,USA,34
4402,USA_CSV0000000000033169__23.csv,USA_CSV0000000000033169__14.csv,7,27,0.7941176470588235,USA,34
4405,USA_CSV0000000000033169__23.csv,USA_CSV0000000000033169__10.csv,7,27,0.7941176470588235,USA,34
4407,USA_CSV0000000000033169__24.csv,USA_CSV0000000000034070__21.csv,8,25,0.7575757575757576,USA,33
4408,USA_CSV0000000000033169__24.csv,USA_CSV0000000000034070__22.csv,8,25,0.7575757575757576,USA,33
4409,USA_CSV0000000000033169__24.csv,USA_CSV0000000000034070.csv,19,58,0.7532467532467533,USA,77
4410,USA_CSV0000000000033169__24.csv,USA_CSV0000000000034070__23.csv,8,25,0.7575757575757576,USA,33
4411,USA_CSV0000000000033169__24.csv,USA_CSV0000000000034070__20.csv,8,25,0.7575757575757576,USA,33
4412,USA_CSV0000000000033169__24.csv,USA_CSV0000000000034070__24.csv,8,25,0.7575757575757576,USA,33
4415,USA_CSV0000000000033169__24.csv,USA_CSV0000000000033169__13.csv,7,27,0.7941176470588235,USA,34
4417,USA_CSV0000000000033169__24.csv,USA_CSV0000000000033169__11.csv,7,27,0.7941176470588235,USA,34
4418,USA_CSV0000000000033169__24.csv,USA_CSV0000000000033169__14.csv,7,27,0.7941176470588235,USA,34
4420,USA_CSV0000000000033169__24.csv,USA_CSV0000000000033169__10.csv,7,27,0.7941176470588235,USA,34
4431,USA_CSV0000000000033169__4.csv,USA_CSV0000000000033169.csv,16,52,0.7647058823529411,USA,68
4433,USA_CSV0000000000033169__4.csv,USA_CSV0000000000034070.csv,16,61,0.7922077922077922,USA,77
4454,USA_CSV0000000000033169__5.csv,USA_CSV0000000000034070__2.csv,11,40,0.7843137254901961,USA,51
4455,USA_CSV0000000000033169__5.csv,USA_CSV0000000000033169__14.csv,10,30,0.75,USA,40
4457,USA_CSV0000000000033169__6.csv,USA_CSV0000000000034070__3.csv,11,40,0.7843137254901961,USA,51
4458,USA_CSV0000000000033169__6.csv,USA_CSV0000000000034070__0.csv,11,40,0.7843137254901961,USA,51
4463,USA_CSV0000000000033169__7.csv,USA_CSV0000000000034070__4.csv,11,40,0.7843137254901961,USA,51
4464,USA_CSV0000000000033169__7.csv,USA_CSV0000000000034070__0.csv,11,40,0.7843137254901961,USA,51
4466,USA_CSV0000000000033169__7.csv,USA_CSV0000000000033169__12.csv,10,30,0.75,USA,40
4467,USA_CSV0000000000033169__7.csv,USA_CSV0000000000033169__11.csv,10,30,0.75,USA,40
4469,USA_CSV0000000000033169__8.csv,USA_CSV0000000000034070__1.csv,11,40,0.7843137254901961,USA,51
4472,USA_CSV0000000000033169__9.csv,USA_CSV0000000000034070__0.csv,11,40,0.7843137254901961,USA,51
4474,USA_CSV0000000000033169__9.csv,USA_CSV0000000000033169__12.csv,10,30,0.75,USA,40
4476,USA_CSV0000000000033169__9.csv,USA_CSV0000000000033169__10.csv,10,30,0.75,USA,40
4494,USA_CSV0000000000033252.csv,USA_CSV0000000000011253.csv,11,21,0.65625,USA,32
4495,USA_CSV0000000000033252.csv,USA_CSV0000000000018681.csv,11,21,0.65625,USA,32
4496,USA_CSV0000000000033252.csv,USA_CSV0000000000035934.csv,10,32,0.7619047619047619,USA,42
4497,USA_CSV0000000000033252.csv,USA_CSV0000000000033874.csv,11,27,0.7105263157894737,USA,38
4498,USA_CSV0000000000033252.csv,USA_CSV0000000000015129.csv,11,21,0.65625,USA,32
4499,USA_CSV0000000000033252.csv,USA_CSV0000000000025463.csv,12,19,0.6129032258064516,USA,31
4502,USA_CSV0000000000033252.csv,USA_CSV0000000000035839.csv,12,27,0.6923076923076923,USA,39
4503,USA_CSV0000000000033252.csv,USA_CSV0000000000014301.csv,10,21,0.6774193548387096,USA,31
4504,USA_CSV0000000000033252.csv,USA_CSV0000000000029730.csv,8,29,0.7837837837837838,USA,37
4505,USA_CSV0000000000033252.csv,USA_CSV0000000000016853.csv,9,26,0.7428571428571429,USA,35
4508,USA_CSV0000000000033252.csv,USA_CSV0000000000034361.csv,9,31,0.775,USA,40
4509,USA_CSV0000000000033252.csv,USA_CSV0000000000035932.csv,9,29,0.7631578947368421,USA,38
4516,USA_CSV0000000000033339__14.csv,USA_CSV0000000000033339__4.csv,43,118,0.7329192546583851,USA,161
4517,USA_CSV0000000000033339__14.csv,USA_CSV0000000000033339__6.csv,43,118,0.7329192546583851,USA,161
4518,USA_CSV0000000000033339__14.csv,USA_CSV0000000000033339__0.csv,43,118,0.7329192546583851,USA,161
4519,USA_CSV0000000000033339__14.csv,USA_CSV0000000000033339__3.csv,43,118,0.7329192546583851,USA,161
4520,USA_CSV0000000000033339__14.csv,USA_CSV0000000000033339__1.csv,43,118,0.7329192546583851,USA,161
4521,USA_CSV0000000000033339__14.csv,USA_CSV0000000000033339__5.csv,43,118,0.7329192546583851,USA,161
4522,USA_CSV0000000000033339__15.csv,USA_CSV0000000000033339__4.csv,43,118,0.7329192546583851,USA,161
4523,USA_CSV0000000000033339__15.csv,USA_CSV0000000000033339__0.csv,43,118,0.7329192546583851,USA,161
4524,USA_CSV0000000000033339__15.csv,USA_CSV0000000000033339__3.csv,43,118,0.7329192546583851,USA,161
4525,USA_CSV0000000000033339__15.csv,USA_CSV0000000000033339__2.csv,43,118,0.7329192546583851,USA,161
4526,USA_CSV0000000000033339__16.csv,USA_CSV0000000000033339__4.csv,43,118,0.7329192546583851,USA,161
4527,USA_CSV0000000000033339__16.csv,USA_CSV0000000000033339__0.csv,43,118,0.7329192546583851,USA,161
4528,USA_CSV0000000000033339__16.csv,USA_CSV0000000000033339__5.csv,43,118,0.7329192546583851,USA,161
4529,USA_CSV0000000000033339__16.csv,USA_CSV0000000000033339__2.csv,43,118,0.7329192546583851,USA,161
4530,USA_CSV0000000000033339__17.csv,USA_CSV0000000000033339__4.csv,43,118,0.7329192546583851,USA,161
4531,USA_CSV0000000000033339__17.csv,USA_CSV0000000000033339__6.csv,43,118,0.7329192546583851,USA,161
4532,USA_CSV0000000000033339__17.csv,USA_CSV0000000000033339__0.csv,43,118,0.7329192546583851,USA,161
4533,USA_CSV0000000000033339__17.csv,USA_CSV0000000000033339__2.csv,43,118,0.7329192546583851,USA,161
4534,USA_CSV0000000000033339__18.csv,USA_CSV0000000000033339__6.csv,43,118,0.7329192546583851,USA,161
4535,USA_CSV0000000000033339__18.csv,USA_CSV0000000000033339__1.csv,43,118,0.7329192546583851,USA,161
4536,USA_CSV0000000000033339__18.csv,USA_CSV0000000000033339__5.csv,43,118,0.7329192546583851,USA,161
4537,USA_CSV0000000000033339__18.csv,USA_CSV0000000000033339__2.csv,43,118,0.7329192546583851,USA,161
4538,USA_CSV0000000000033339__19.csv,USA_CSV0000000000033339__6.csv,43,118,0.7329192546583851,USA,161
4539,USA_CSV0000000000033339__19.csv,USA_CSV0000000000033339__1.csv,43,118,0.7329192546583851,USA,161
4540,USA_CSV0000000000033339__19.csv,USA_CSV0000000000033339__5.csv,43,118,0.7329192546583851,USA,161
4542,USA_CSV0000000000033339__20.csv,USA_CSV0000000000033339__4.csv,43,118,0.7329192546583851,USA,161
4543,USA_CSV0000000000033339__20.csv,USA_CSV0000000000033339__6.csv,43,118,0.7329192546583851,USA,161
4544,USA_CSV0000000000033339__20.csv,USA_CSV0000000000033339__0.csv,43,118,0.7329192546583851,USA,161
4545,USA_CSV0000000000033339__20.csv,USA_CSV0000000000033339__1.csv,43,118,0.7329192546583851,USA,161
4546,USA_CSV0000000000033339__20.csv,USA_CSV0000000000033339__5.csv,43,118,0.7329192546583851,USA,161
4547,USA_CSV0000000000033339__20.csv,USA_CSV0000000000033339__2.csv,43,118,0.7329192546583851,USA,161
4548,USA_CSV0000000000033339__21.csv,USA_CSV0000000000033339__20.csv,38,117,0.7548387096774194,USA,155
4549,USA_CSV0000000000033339__21.csv,USA_CSV0000000000033339__17.csv,38,117,0.7548387096774194,USA,155
4550,USA_CSV0000000000033339__21.csv,USA_CSV0000000000033339__18.csv,38,117,0.7548387096774194,USA,155
4551,USA_CSV0000000000033339__21.csv,USA_CSV0000000000033339__19.csv,38,117,0.7548387096774194,USA,155
4552,USA_CSV0000000000033339__22.csv,USA_CSV0000000000033339__20.csv,38,117,0.7548387096774194,USA,155
4553,USA_CSV0000000000033339__22.csv,USA_CSV0000000000033339__17.csv,38,117,0.7548387096774194,USA,155
4554,USA_CSV0000000000033339__22.csv,USA_CSV0000000000033339__15.csv,38,117,0.7548387096774194,USA,155
4555,USA_CSV0000000000033339__22.csv,USA_CSV0000000000033339__19.csv,38,117,0.7548387096774194,USA,155
4556,USA_CSV0000000000033339__23.csv,USA_CSV0000000000033339__14.csv,38,117,0.7548387096774194,USA,155
4557,USA_CSV0000000000033339__23.csv,USA_CSV0000000000033339__20.csv,38,117,0.7548387096774194,USA,155
4558,USA_CSV0000000000033339__23.csv,USA_CSV0000000000033339__17.csv,38,117,0.7548387096774194,USA,155
4559,USA_CSV0000000000033339__23.csv,USA_CSV0000000000033339__18.csv,38,117,0.7548387096774194,USA,155
4560,USA_CSV0000000000033339__23.csv,USA_CSV0000000000033339__19.csv,38,117,0.7548387096774194,USA,155
4561,USA_CSV0000000000033339__24.csv,USA_CSV0000000000033339__20.csv,38,117,0.7548387096774194,USA,155
4562,USA_CSV0000000000033339__24.csv,USA_CSV0000000000033339__16.csv,38,117,0.7548387096774194,USA,155
4563,USA_CSV0000000000033339__24.csv,USA_CSV0000000000033339__17.csv,38,117,0.7548387096774194,USA,155
4564,USA_CSV0000000000033339__24.csv,USA_CSV0000000000033339__15.csv,38,117,0.7548387096774194,USA,155
4565,USA_CSV0000000000033339__24.csv,USA_CSV0000000000033339__18.csv,38,117,0.7548387096774194,USA,155
4566,USA_CSV0000000000033339__24.csv,USA_CSV0000000000033339__19.csv,38,117,0.7548387096774194,USA,155
4567,USA_CSV0000000000033339__25.csv,USA_CSV0000000000033339__20.csv,38,117,0.7548387096774194,USA,155
4568,USA_CSV0000000000033339__25.csv,USA_CSV0000000000033339__17.csv,38,117,0.7548387096774194,USA,155
4569,USA_CSV0000000000033339__25.csv,USA_CSV0000000000033339__18.csv,38,117,0.7548387096774194,USA,155
4570,USA_CSV0000000000033339__25.csv,USA_CSV0000000000033339__19.csv,38,117,0.7548387096774194,USA,155
4571,USA_CSV0000000000033339__26.csv,USA_CSV0000000000033339__14.csv,38,117,0.7548387096774194,USA,155
4572,USA_CSV0000000000033339__26.csv,USA_CSV0000000000033339__20.csv,38,117,0.7548387096774194,USA,155
4573,USA_CSV0000000000033339__26.csv,USA_CSV0000000000033339__16.csv,38,117,0.7548387096774194,USA,155
4574,USA_CSV0000000000033339__26.csv,USA_CSV0000000000033339__17.csv,38,117,0.7548387096774194,USA,155
4575,USA_CSV0000000000033339__27.csv,USA_CSV0000000000033339__14.csv,38,117,0.7548387096774194,USA,155
4576,USA_CSV0000000000033339__27.csv,USA_CSV0000000000033339__17.csv,38,117,0.7548387096774194,USA,155
4577,USA_CSV0000000000033339__27.csv,USA_CSV0000000000033339__18.csv,38,117,0.7548387096774194,USA,155
4578,USA_CSV0000000000033339__27.csv,USA_CSV0000000000033339__19.csv,38,117,0.7548387096774194,USA,155
4586,USA_CSV0000000000033369.csv,USA_CSV0000000000037163.csv,16,17,0.5151515151515151,USA,33
4587,USA_CSV0000000000033369.csv,USA_CSV0000000000035712.csv,16,17,0.5151515151515151,USA,33
4595,USA_CSV0000000000033473.csv,USA_CSV0000000000009716.csv,10,32,0.7619047619047619,USA,42
4634,USA_CSV0000000000033774.csv,USA_CSV0000000000037163.csv,16,17,0.5151515151515151,USA,33
4635,USA_CSV0000000000033847.csv,USA_CSV0000000000033847__23.csv,46,52,0.5306122448979592,USA,98
4667,USA_CSV0000000000033847__11.csv,USA_CSV0000000000037101__8.csv,16,46,0.7419354838709677,USA,62
4668,USA_CSV0000000000033847__11.csv,USA_CSV0000000000037101__7.csv,16,46,0.7419354838709677,USA,62
4669,USA_CSV0000000000033847__11.csv,USA_CSV0000000000037101__6.csv,16,46,0.7419354838709677,USA,62
4676,USA_CSV0000000000033847__12.csv,USA_CSV0000000000034882__3.csv,13,48,0.7868852459016393,USA,61
4677,USA_CSV0000000000033847__12.csv,USA_CSV0000000000034882__0.csv,13,48,0.7868852459016393,USA,61
4678,USA_CSV0000000000033847__12.csv,USA_CSV0000000000033847__22.csv,13,51,0.796875,USA,64
4690,USA_CSV0000000000033847__14.csv,USA_CSV0000000000034882__3.csv,13,48,0.7868852459016393,USA,61
4691,USA_CSV0000000000033847__14.csv,USA_CSV0000000000033847__10.csv,13,45,0.7758620689655172,USA,58
4711,USA_CSV0000000000033847__17.csv,USA_CSV0000000000034882__3.csv,13,48,0.7868852459016393,USA,61
4712,USA_CSV0000000000033847__17.csv,USA_CSV0000000000033847__27.csv,16,41,0.7192982456140351,USA,57
4713,USA_CSV0000000000033847__17.csv,USA_CSV0000000000033847__11.csv,13,45,0.7758620689655172,USA,58
4714,USA_CSV0000000000033847__17.csv,USA_CSV0000000000033847__22.csv,13,51,0.796875,USA,64
4736,USA_CSV0000000000033847__23.csv,USA_CSV0000000000034882.csv,46,52,0.5306122448979592,USA,98
4738,USA_CSV0000000000033847__23.csv,USA_CSV0000000000033847.csv,46,52,0.5306122448979592,USA,98
4739,USA_CSV0000000000033847__23.csv,USA_CSV0000000000037101.csv,46,52,0.5306122448979592,USA,98
4742,USA_CSV0000000000033847__24.csv,USA_CSV0000000000034882__3.csv,20,47,0.7014925373134329,USA,67
4743,USA_CSV0000000000033847__24.csv,USA_CSV0000000000034882__1.csv,20,47,0.7014925373134329,USA,67
4744,USA_CSV0000000000033847__24.csv,USA_CSV0000000000034882__5.csv,20,47,0.7014925373134329,USA,67
4745,USA_CSV0000000000033847__24.csv,USA_CSV0000000000034882__4.csv,20,47,0.7014925373134329,USA,67
4746,USA_CSV0000000000033847__24.csv,USA_CSV0000000000034882__0.csv,20,47,0.7014925373134329,USA,67
4747,USA_CSV0000000000033847__25.csv,USA_CSV0000000000034882__3.csv,20,47,0.7014925373134329,USA,67
4748,USA_CSV0000000000033847__25.csv,USA_CSV0000000000034882__5.csv,20,47,0.7014925373134329,USA,67
4749,USA_CSV0000000000033847__25.csv,USA_CSV0000000000034882__4.csv,20,47,0.7014925373134329,USA,67
4750,USA_CSV0000000000033847__25.csv,USA_CSV0000000000034882__0.csv,20,47,0.7014925373134329,USA,67
4751,USA_CSV0000000000033847__25.csv,USA_CSV0000000000034882__2.csv,20,47,0.7014925373134329,USA,67
4752,USA_CSV0000000000033847__26.csv,USA_CSV0000000000034882__3.csv,20,47,0.7014925373134329,USA,67
4753,USA_CSV0000000000033847__26.csv,USA_CSV0000000000034882__4.csv,20,47,0.7014925373134329,USA,67
4754,USA_CSV0000000000033847__26.csv,USA_CSV0000000000034882__0.csv,20,47,0.7014925373134329,USA,67
4755,USA_CSV0000000000033847__26.csv,USA_CSV0000000000034882__2.csv,20,47,0.7014925373134329,USA,67
4756,USA_CSV0000000000033847__27.csv,USA_CSV0000000000034882__3.csv,20,47,0.7014925373134329,USA,67
4757,USA_CSV0000000000033847__27.csv,USA_CSV0000000000034882__1.csv,20,47,0.7014925373134329,USA,67
4758,USA_CSV0000000000033847__27.csv,USA_CSV0000000000034882__4.csv,20,47,0.7014925373134329,USA,67
4759,USA_CSV0000000000033847__27.csv,USA_CSV0000000000034882__0.csv,20,47,0.7014925373134329,USA,67
4760,USA_CSV0000000000033847__28.csv,USA_CSV0000000000034882__3.csv,20,47,0.7014925373134329,USA,67
4761,USA_CSV0000000000033847__28.csv,USA_CSV0000000000034882__5.csv,20,47,0.7014925373134329,USA,67
4762,USA_CSV0000000000033847__28.csv,USA_CSV0000000000034882__4.csv,20,47,0.7014925373134329,USA,67
4763,USA_CSV0000000000033847__28.csv,USA_CSV0000000000034882__0.csv,20,47,0.7014925373134329,USA,67
4764,USA_CSV0000000000033847__29.csv,USA_CSV0000000000034882__3.csv,20,47,0.7014925373134329,USA,67
4765,USA_CSV0000000000033847__29.csv,USA_CSV0000000000034882__1.csv,20,47,0.7014925373134329,USA,67
4766,USA_CSV0000000000033847__29.csv,USA_CSV0000000000034882__5.csv,20,47,0.7014925373134329,USA,67
4767,USA_CSV0000000000033847__29.csv,USA_CSV0000000000034882__4.csv,20,47,0.7014925373134329,USA,67
4773,USA_CSV0000000000033847__3.csv,USA_CSV0000000000034882__13.csv,11,40,0.7843137254901961,USA,51
4783,USA_CSV0000000000033847__6.csv,USA_CSV0000000000037101__9.csv,16,46,0.7419354838709677,USA,62
4784,USA_CSV0000000000033847__6.csv,USA_CSV0000000000037101__7.csv,16,46,0.7419354838709677,USA,62
4785,USA_CSV0000000000033847__6.csv,USA_CSV0000000000037101__6.csv,16,46,0.7419354838709677,USA,62
4788,USA_CSV0000000000033847__7.csv,USA_CSV0000000000037101.csv,40,58,0.5918367346938775,USA,98
