Agency Number - Agency Name,Agency Contract No.,Agency Contract Amendment No.,"Contractor Name
(Search for Vendor)",Contractor Name D/B/A (Optional),Statewide Vendor Number (Optional),Purpose of the Contract,Purpose of the Contract Description (Optional),Contract Effective Start Date,Contract Effective End Date,Period of Performance Start Date,Period of Performance End Date,Federal Amount,State Amount,Other Amount,Cost of Contract,Explanation of Costs (Optional),Contract Modifications,Procurement Type,Non-Financial Contract Yes/No (Optional),Minority/Woman Owned,Small Business,Veteran
085 - Office of the Secretary of State,12/195,12/195,La Conner Regional Library,,,ER - Other Contractual Services,,02/10/2012 12:00:00 AM,,02/10/2012 12:00:00 AM,,$   - 0,$   - 0,$   - 0,,,,Interlocal Agreement,,Not Certified,Not Certified,Not Certified
075 - Office of the Governor,K584,K584,The Bright Side Group,,SWV0314270-00,CZ - Other Professional Services,Solitary After Action Review (OCO),05/19/2024 12:00:00 AM,2024-07-31T00:00:00.000,05/19/2024 12:00:00 AM,2024-07-31T00:00:00.000,$   - 0,"$   4,000.00",$   - 0,"$   4,000.00",Direct Buy,,Direct Buy - Non-Competitive,N,Not Certified,Not Certified,Not Certified
085 - Office of the Secretary of State,12/195,12/195-1,La Conner Regional Library,,,ER - Other Contractual Services,,05/17/2016 12:00:00 AM,,05/17/2016 12:00:00 AM,,$   - 0,$   - 0,$   - 0,,,,Interlocal Agreement,,Not Certified,Not Certified,Not Certified
082 - Public Disclosure Commission,942158596-00001,942158596-00001,Verizon Wireless,,,EB - Communications and Telecommunications Services,Agency Cellular Devices,07/01/2023 12:00:00 AM,2024-06-30T00:00:00.000,07/01/2023 12:00:00 AM,2024-06-30T00:00:00.000,$   - 0,"$   4,571.83",$   - 0,"$   4,571.83",,Annual Contract,Direct Buy - Non-Competitive,,Not Certified,Not Certified,Not Certified
085 - Office of the Secretary of State,6719,6719,Whitman County Auditor Recording,,,EY - Software Licenses and Maintenance,,12/09/2019 12:00:00 AM,,12/09/2019 12:00:00 AM,,$   - 0,$   - 0,$   - 0,,,Interlocal Agreement,Interlocal Agreement,,Not Certified,Not Certified,Not Certified
085 - Office of the Secretary of State,7814,7814,Jefferson County Historical Soc,,,ER - Other Contractual Services,,05/17/2023 12:00:00 AM,,05/17/2023 12:00:00 AM,,$   - 0,$   - 0,$   - 0,,,Interlocal Agreement,Interlocal Agreement,,Not Certified,Not Certified,Not Certified
085 - Office of the Secretary of State,7099,7099,Ellensburg City of,,,ER - Other Contractual Services,,04/29/2021 12:00:00 AM,,04/29/2021 12:00:00 AM,,$   - 0,$   - 0,$   - 0,,,Interlocal Agreement,Interlocal Agreement,,Not Certified,Not Certified,Not Certified
085 - Office of the Secretary of State,7176,7176,Wash ST Department of Health,,,ER - Other Contractual Services,,08/06/2021 12:00:00 AM,2026-08-31T00:00:00.000,08/06/2021 12:00:00 AM,2026-08-31T00:00:00.000,$   - 0,"$   18,175.00",$   - 0,"$   18,175.00",,Interlocal Agreement,Interlocal Agreement,,Not Certified,Not Certified,Not Certified
082 - Public Disclosure Commission,PR_24-099,PR_24-099,3D Systems,,,EZ - Other Goods and Services,Delivery of Office Furniture,07/01/2023 12:00:00 AM,2024-06-30T00:00:00.000,07/01/2023 12:00:00 AM,2024-06-30T00:00:00.000,$   - 0,$   452.74,$   - 0,$   452.74,,As Needed Contract,Statewide Contract,,Not Certified,Y,Y
085 - Office of the Secretary of State,10/248,10/248,Sedro Wooley Public Library,,,NZ - Other Grants/Benefits/Client Svcs,,03/24/2010 12:00:00 AM,,03/24/2010 12:00:00 AM,,$   - 0,$   - 0,$   - 0,$   - 0,,Grant,Grant,,Not Certified,Not Certified,Not Certified
085 - Office of the Secretary of State,4808,4808-9,Oclc Online Computer Library Cnt,,,ER - Other Contractual Services,,07/01/2023 12:00:00 AM,2024-06-30T00:00:00.000,07/01/2023 12:00:00 AM,2024-06-30T00:00:00.000,"$   12,985.42",$   - 0,$   - 0,"$   12,985.42",,,Master Contract,,Not Certified,Not Certified,Not Certified
085 - Office of the Secretary of State,6692,6692,Franklin County Auditor,,,EY - Software Licenses and Maintenance,,12/13/2019 12:00:00 AM,,12/13/2019 12:00:00 AM,,$   - 0,$   - 0,$   - 0,,,Interlocal Agreement,Interlocal Agreement,,Not Certified,Not Certified,Not Certified
075 - Office of the Governor,K505,K505,Ecomomic Devel Assn of Skagit Co.,Economic Development Association of Skagit County,SWV0007452-00,ER - Other Contractual Services,SBRR Workshop (ORIA),10/26/2023 12:00:00 AM,2023-11-03T00:00:00.000,10/26/2023 12:00:00 AM,2023-11-03T00:00:00.000,$   - 0,"$   3,000.00",,"$   3,000.00",Direct Buy,,Direct Buy - Non-Competitive,N,Not Certified,Not Certified,Not Certified
085 - Office of the Secretary of State,7419,7419,Yakima County Auditor,,,ER - Other Contractual Services,,03/29/2022 12:00:00 AM,2023-12-31T00:00:00.000,03/29/2022 12:00:00 AM,2023-12-31T00:00:00.000,$   - 0,"$   (50,000.00)",$   - 0,"$   (50,000.00)",,Interlocal Agreement,Interlocal Agreement,,Not Certified,Not Certified,Not Certified
085 - Office of the Secretary of State,4612,4612-1,Upper Skagit Library,,,ER - Other Contractual Services,,02/11/2016 12:00:00 AM,,02/11/2016 12:00:00 AM,,$   - 0,$   - 0,$   - 0,,,,Interlocal Agreement,,Not Certified,Not Certified,Not Certified
085 - Office of the Secretary of State,7240,7240,Stevens County Rural Library DIS,,,ER - Other Contractual Services,,12/29/2021 12:00:00 AM,,12/29/2021 12:00:00 AM,,$   - 0,$   - 0,$   - 0,,,Interlocal Agreement,Interlocal Agreement,,Not Certified,Not Certified,Not Certified
085 - Office of the Secretary of State,3563,3563,Eastern Washington University,,,SA - Salaries and Wages,,12/10/2007 12:00:00 AM,,12/10/2007 12:00:00 AM,,$   - 0,$   - 0,$   - 0,$   - 0,,Interlocal Agreement,Interlocal Agreement,,Not Certified,Not Certified,Not Certified
085 - Office of the Secretary of State,12/192,12/192,Davenport Public Library,,,NZ - Other Grants and Benefits,,02/17/2012 12:00:00 AM,,02/17/2012 12:00:00 AM,,$   - 0,$   - 0,$   - 0,$   - 0,,Grant,Grant,,Not Certified,Not Certified,Not Certified
085 - Office of the Secretary of State,7482,7482,Office of the State Auditor,,,CC - Financial Services,,07/01/2022 12:00:00 AM,2025-06-30T00:00:00.000,07/01/2022 12:00:00 AM,2025-06-30T00:00:00.000,$   - 0,$   - 0,$   - 0,,,Interlocal Agreement,Interlocal Agreement,,Not Certified,Not Certified,Not Certified
